Country,Name,Source,Location,Capacity,Status,Start,Owner,Capital,HQ,Link,Latitude,Longitude
Perú,Central Solar Rubí,Solar,Moquegua,144.48,Operativo,2018,ENEL GREEN POWER PERÚ S.A.,Privado,Roma (Italia),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.6.6.pdf,-17.258119,-71.186255
Perú,Central Solar Intipampa,Solar,Moquegua,40,Operativo,2017,ENGIE ENERGIA PERU S.A.,Privado,Paris (Francia),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.6.7.pdf,-17.230536,-70.859378
BRASIL,Paracatu 1-4,Solar,Paracatu (MG),132,Operativo,2019,ENGIE,Privado,La Défense (Francia),https://epocanegocios.globo.com/Empresa/noticia/2019/01/epoca-negocios-EUAinas-solares-da-engie-em-minas-gerais-tem-aval-para-iniciar-operacao-comercial.html,-17.2238503,-47.08718807
Perú,Central Solar Fotovoltaica Continua Misti,Solar,Arequipa,300,En construcción,Indeterminado,CSF CONTINUA MISTI S.A.C.,Privado,Soria (España),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/3.6.3.pdf,-16.789747,-71.776733
Perú,Central Solar Fotovoltaica Continua Chachani,Solar,Arequipa,100,En construcción,2021,CSF CONTINUA CHACHANI S.A.C.,Privado,Soria (España),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/3.6.1.pdf,-16.703914,-71.822185
Perú,Central Solar Fotovoltaica Continua Pichu Pichu,Solar,Arequipa,60,En construcción,2021,CSF CONTINUA PICHU PICHU S.A.C.,Privado,Soria (España),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/3.6.2.pdf,-16.641929,-71.786025
Perú,Central Solar Repartición 20T,Solar,Arequipa,20,Operativo,2012,GTS REPARTICION S.A.C.,Privado,Londres (Reino Unido),http://becas.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.6.2.pdf,-16.575866,-71.818179
Perú,Central Majes Solar 20T,Solar,Arequipa,20,Operativo,2012,GTS MAJES S.A.C.,Privado,Londres (Reino Unido),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.6.1.pdf,-16.435688,-72.221658
BRASIL,Complexo Morada do Sol,Solar,Aquiraz (CE). Luziânia (GO),587.5,Planificado,Indeterminado,Morada do Sol Geração Elétrica Ltda.,Privado,Eusébio (Brasil),https://www.alertadiario.com.br/articles/da43d-diario-oficial-da-uniao-2020-06-19-pg-56,-16.30157222,-47.70971111
BRASIL,Complexo Janaúba,Solar,Janaúba (MG),1200,En construcción,Indeterminado,Elera Renováveis,Privado,Rio de Janeiro (Brasil),https://www.canalenergia.com.br/noticias/53173541/elera-renovaveis-e-liasa-selam-contrato-de-autoproducao-para-o-projeto-solar-janauba,-15.943117,-43.491981
BRASIL,ClEUAter Sertão Veredas,Solar,Arinos (MG),1100,Planificado,Indeterminado,Aurora Energia,Privado,Belo Horizonte (Brasil),https://www.auroraenergia.com.br/projetos/sertao-veredas,-15.819742,-46.014396
BRASIL,ClEUAter Rosa de Jericó,Solar,Jaíba (MG),836,Planificado,Indeterminado,Aurora Energia,Privado,Belo Horizonte (Brasil),https://www.auroraenergia.com.br/projetos/rosa-dejerico,-15.468227,-43.768124
BRASIL,Sol do Cerrado,Solar,Jaíba (MG),1675,Planificado,Indeterminado,Vale,Privado,Rio de Janeiro (Brasil),https://www.auroraenergia.com.br/projetos/sol-do-cerrado,-15.419645,-43.781766
Perú,Central Eólica Parque Eólico Marcona,Eólica,Ica,32,Operativo,2014,PARQUE EÓLICO MARCONA S.R.L.,Privado,Lima (Peru) ,https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.7.1.pdf,-15.411784,-75.068363
Perú,Parque Eólico Tres Hermanas,Eólica,Ica,97.15,Operativo,2016,PARQUE EÓLICO TRES HERMANAS S.A.C.,Privado,Lima (Peru) ,https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.7.4.pdf,-15.395154,-75.083365
Perú,Central Eólica Wayra Extensión,Eólica,Ica,108,En construcción,2022,ENEL GREEN POWER PERU S.A.,Privado,Roma (Italia),https://www.osinergmin.gob.pe/newweb/uploads/Publico/MapaSEIN/informes/proyectos/construccion/202102.pdf,-15.067413,-75.047974
Perú,Central Eólica Wayra I (Parque Nazca),Eólica,Ica,132.3,Operativo,2018,ENEL GREEN POWER PERÚ S.A.,Privado,Roma (Italia),https://www.osinergmin.gob.pe/seccion/centro_documental/electricidad/Documentos/PROYECTOS%20GFE/Acorde%C3%B3n/Generaci%C3%B3n/1.7.5.pdf,-15.041775,-75.049364
BRASIL,Complexo Serra das Almas,Eólica,Urandi. Licínio de Almeida e Jacaraci (BA),420,Planificado,Indeterminado,EDF Renewables / PEC Energia,Privado,Paris (Francia),http://www.pecenergia.com.br/serra-das-almas.html,-14.6949261,-42.63128267
